year,day,title
2015,1,--- Day 1: Not Quite Lisp ---
2015,2,--- Day 2: I Was Told There Would Be No Math ---
2015,3,--- Day 3: Perfectly Spherical Houses in a Vacuum ---
2015,4,--- Day 4: The Ideal Stocking Stuffer ---
2015,5,--- Day 5: Doesn't He Have Intern-Elves For This? ---
2015,6,--- Day 6: Probably a Fire Hazard ---
2015,7,--- Day 7: Some Assembly Required ---
2015,8,--- Day 8: Matchsticks ---
2015,9,--- Day 9: All in a Single Night ---
2015,10,"--- Day 10: Elves Look, Elves Say ---"
2015,11,--- Day 11: Corporate Policy ---
2015,12,--- Day 12: JSAbacusFramework.io ---
2015,13,--- Day 13: Knights of the Dinner Table ---
2015,14,--- Day 14: Reindeer Olympics ---
2015,15,--- Day 15: Science for Hungry People ---
2015,16,--- Day 16: Aunt Sue ---
2015,17,--- Day 17: No Such Thing as Too Much ---
2015,18,--- Day 18: Like a GIF For Your Yard ---
2015,19,--- Day 19: Medicine for Rudolph ---
2015,20,--- Day 20: Infinite Elves and Infinite Houses ---
2015,21,--- Day 21: RPG Simulator 20XX ---
2015,22,--- Day 22: Wizard Simulator 20XX ---
2015,23,--- Day 23: Opening the Turing Lock ---
2015,24,--- Day 24: It Hangs in the Balance ---
2015,25,--- Day 25: Let It Snow ---
2016,1,--- Day 1: No Time for a Taxicab ---
2016,2,--- Day 2: Bathroom Security ---
2016,3,--- Day 3: Squares With Three Sides ---
2016,4,--- Day 4: Security Through Obscurity ---
2016,5,--- Day 5: How About a Nice Game of Chess? ---
2016,6,--- Day 6: Signals and Noise ---
2016,7,--- Day 7: Internet Protocol Version 7 ---
2016,8,--- Day 8: Two-Factor Authentication ---
2016,9,--- Day 9: Explosives in Cyberspace ---
2016,10,--- Day 10: Balance Bots ---
2016,11,--- Day 11: Radioisotope Thermoelectric Generators ---
2016,12,--- Day 12: Leonardo's Monorail ---
2016,13,--- Day 13: A Maze of Twisty Little Cubicles ---
2016,14,--- Day 14: One-Time Pad ---
2016,15,--- Day 15: Timing is Everything ---
2016,16,--- Day 16: Dragon Checksum ---
2016,17,--- Day 17: Two Steps Forward ---
2016,18,--- Day 18: Like a Rogue ---
2016,19,--- Day 19: An Elephant Named Joseph ---
2016,20,--- Day 20: Firewall Rules ---
2016,21,--- Day 21: Scrambled Letters and Hash ---
2016,22,--- Day 22: Grid Computing ---
2016,23,--- Day 23: Safe Cracking ---
2016,24,--- Day 24: Air Duct Spelunking ---
2016,25,--- Day 25: Clock Signal ---
2017,1,--- Day 1: Inverse Captcha ---
2017,2,--- Day 2: Corruption Checksum ---
2017,3,--- Day 3: Spiral Memory ---
2017,4,--- Day 4: High-Entropy Passphrases ---
2017,5,"--- Day 5: A Maze of Twisty Trampolines, All Alike ---"
2017,6,--- Day 6: Memory Reallocation ---
2017,7,--- Day 7: Recursive Circus ---
2017,8,--- Day 8: I Heard You Like Registers ---
2017,9,--- Day 9: Stream Processing ---
2017,10,--- Day 10: Knot Hash ---
2017,11,--- Day 11: Hex Ed ---
2017,12,--- Day 12: Digital Plumber ---
2017,13,--- Day 13: Packet Scanners ---
2017,14,--- Day 14: Disk Defragmentation ---
2017,15,--- Day 15: Dueling Generators ---
2017,16,--- Day 16: Permutation Promenade ---
2017,17,--- Day 17: Spinlock ---
2017,18,--- Day 18: Duet ---
2017,19,--- Day 19: A Series of Tubes ---
2017,20,--- Day 20: Particle Swarm ---
2017,21,--- Day 21: Fractal Art ---
2017,22,--- Day 22: Sporifica Virus ---
2017,23,--- Day 23: Coprocessor Conflagration ---
2017,24,--- Day 24: Electromagnetic Moat ---
2017,25,--- Day 25: The Halting Problem ---
2018,1,--- Day 1: Chronal Calibration ---
2018,2,--- Day 2: Inventory Management System ---
2018,3,--- Day 3: No Matter How You Slice It ---
2018,4,--- Day 4: Repose Record ---
2018,5,--- Day 5: Alchemical Reduction ---
2018,6,--- Day 6: Chronal Coordinates ---
2018,7,--- Day 7: The Sum of Its Parts ---
2018,8,--- Day 8: Memory Maneuver ---
2018,9,--- Day 9: Marble Mania ---
2018,10,--- Day 10: The Stars Align ---
2018,11,--- Day 11: Chronal Charge ---
2018,12,--- Day 12: Subterranean Sustainability ---
2018,13,--- Day 13: Mine Cart Madness ---
2018,14,--- Day 14: Chocolate Charts ---
2018,15,--- Day 15: Beverage Bandits ---
2018,16,--- Day 16: Chronal Classification ---
2018,17,--- Day 17: Reservoir Research ---
2018,18,--- Day 18: Settlers of The North Pole ---
2018,19,--- Day 19: Go With The Flow ---
2018,20,--- Day 20: A Regular Map ---
2018,21,--- Day 21: Chronal Conversion ---
2018,22,--- Day 22: Mode Maze ---
2018,23,--- Day 23: Experimental Emergency Teleportation ---
2018,24,--- Day 24: Immune System Simulator 20XX ---
2018,25,--- Day 25: Four-Dimensional Adventure ---
2019,1,--- Day 1: The Tyranny of the Rocket Equation ---
2019,2,--- Day 2: 1202 Program Alarm ---
2019,3,--- Day 3: Crossed Wires ---
2019,4,--- Day 4: Secure Container ---
2019,5,--- Day 5: Sunny with a Chance of Asteroids ---
2019,6,--- Day 6: Universal Orbit Map ---
2019,7,--- Day 7: Amplification Circuit ---
2019,8,--- Day 8: Space Image Format ---
2019,9,--- Day 9: Sensor Boost ---
2019,10,--- Day 10: Monitoring Station ---
2019,11,--- Day 11: Space Police ---
2019,12,--- Day 12: The N-Body Problem ---
2019,13,--- Day 13: Care Package ---
2019,14,--- Day 14: Space Stoichiometry ---
2019,15,--- Day 15: Oxygen System ---
2019,16,--- Day 16: Flawed Frequency Transmission ---
2019,17,--- Day 17: Set and Forget ---
2019,18,--- Day 18: Many-Worlds Interpretation ---
2019,19,--- Day 19: Tractor Beam ---
2019,20,--- Day 20: Donut Maze ---
2019,21,--- Day 21: Springdroid Adventure ---
2019,22,--- Day 22: Slam Shuffle ---
2019,23,--- Day 23: Category Six ---
2019,24,--- Day 24: Planet of Discord ---
2019,25,--- Day 25: Cryostasis ---
2020,1,--- Day 1: Report Repair ---
2020,2,--- Day 2: Password Philosophy ---
2020,3,--- Day 3: Toboggan Trajectory ---
2020,4,--- Day 4: Passport Processing ---
2020,5,--- Day 5: Binary Boarding ---
2020,6,--- Day 6: Custom Customs ---
2020,7,--- Day 7: Handy Haversacks ---
2020,8,--- Day 8: Handheld Halting ---
2020,9,--- Day 9: Encoding Error ---
2020,10,--- Day 10: Adapter Array ---
2020,11,--- Day 11: Seating System ---
2020,12,--- Day 12: Rain Risk ---
2020,13,--- Day 13: Shuttle Search ---
2020,14,--- Day 14: Docking Data ---
2020,15,--- Day 15: Rambunctious Recitation ---
2020,16,--- Day 16: Ticket Translation ---
2020,17,--- Day 17: Conway Cubes ---
2020,18,--- Day 18: Operation Order ---
2020,19,--- Day 19: Monster Messages ---
2020,20,--- Day 20: Jurassic Jigsaw ---
2020,21,--- Day 21: Allergen Assessment ---
2020,22,--- Day 22: Crab Combat ---
2020,23,--- Day 23: Crab Cups ---
2020,24,--- Day 24: Lobby Layout ---
2020,25,--- Day 25: Combo Breaker ---
2021,1,--- Day 1: Sonar Sweep ---
2021,2,--- Day 2: Dive! ---
2021,3,--- Day 3: Binary Diagnostic ---
2021,4,--- Day 4: Giant Squid ---
2021,5,--- Day 5: Hydrothermal Venture ---
2021,6,--- Day 6: Lanternfish ---
2021,7,--- Day 7: The Treachery of Whales ---
2021,8,--- Day 8: Seven Segment Search ---
2021,9,--- Day 9: Smoke Basin ---
2021,10,--- Day 10: Syntax Scoring ---
2021,11,--- Day 11: Dumbo Octopus ---
2021,12,--- Day 12: Passage Pathing ---
2021,13,--- Day 13: Transparent Origami ---
2021,14,--- Day 14: Extended Polymerization ---
2021,15,--- Day 15: Chiton ---
2021,16,--- Day 16: Packet Decoder ---
2021,17,--- Day 17: Trick Shot ---
2021,18,--- Day 18: Snailfish ---
2021,19,--- Day 19: Beacon Scanner ---
2021,20,--- Day 20: Trench Map ---
2021,21,--- Day 21: Dirac Dice ---
2021,22,--- Day 22: Reactor Reboot ---
2021,23,--- Day 23: Amphipod ---
2021,24,--- Day 24: Arithmetic Logic Unit ---
2021,25,--- Day 25: Sea Cucumber ---
2022,1,--- Day 1: Calorie Counting ---
2022,2,--- Day 2: Rock Paper Scissors ---
2022,3,--- Day 3: Rucksack Reorganization ---
2022,4,--- Day 4: Camp Cleanup ---
2022,5,--- Day 5: Supply Stacks ---
2022,6,--- Day 6: Tuning Trouble ---
2022,7,--- Day 7: No Space Left On Device ---
2022,8,--- Day 8: Treetop Tree House ---
2022,9,--- Day 9: Rope Bridge ---
2022,10,--- Day 10: Cathode-Ray Tube ---
2022,11,--- Day 11: Monkey in the Middle ---
2022,12,--- Day 12: Hill Climbing Algorithm ---
2022,13,--- Day 13: Distress Signal ---
2022,14,--- Day 14: Regolith Reservoir ---
2022,15,--- Day 15: Beacon Exclusion Zone ---
2022,16,--- Day 16: Proboscidea Volcanium ---
2022,17,--- Day 17: Pyroclastic Flow ---
2022,18,--- Day 18: Boiling Boulders ---
2022,19,--- Day 19: Not Enough Minerals ---
2022,20,--- Day 20: Grove Positioning System ---
2022,21,--- Day 21: Monkey Math ---
2022,22,--- Day 22: Monkey Map ---
2022,23,--- Day 23: Unstable Diffusion ---
2022,24,--- Day 24: Blizzard Basin ---
2022,25,--- Day 25: Full of Hot Air ---
2023,1,--- Day 1: Trebuchet?! ---
2023,2,--- Day 2: Cube Conundrum ---
2023,3,--- Day 3: Gear Ratios ---
2023,4,--- Day 4: Scratchcards ---
2023,5,--- Day 5: If You Give A Seed A Fertilizer ---
2023,6,--- Day 6: Wait For It ---
2023,7,--- Day 7: Camel Cards ---
2023,8,--- Day 8: Haunted Wasteland ---
2023,9,--- Day 9: Mirage Maintenance ---
2023,10,--- Day 10: Pipe Maze ---
2023,11,--- Day 11: Cosmic Expansion ---
2023,12,--- Day 12: Hot Springs ---
2023,13,--- Day 13: Point of Incidence ---
2023,14,--- Day 14: Parabolic Reflector Dish ---
2023,15,--- Day 15: Lens Library ---
2023,16,--- Day 16: The Floor Will Be Lava ---
2023,17,--- Day 17: Clumsy Crucible ---
2023,18,--- Day 18: Lavaduct Lagoon ---
